Date Time,Oxygen,oxygen_quality,Streamflow,Temperature
2021-12-06,0.0,255,2892.21,19.6
2021-12-07,8.724,3,2822.83,18.9
2021-12-08,9.093,3,2629.56,17.5
2021-12-09,9.134,3,2616.88,17.1
2021-12-10,9.362,3,2596.73,16.7
2021-12-11,9.455,3,2562.8,17.0
2021-12-12,9.361,3,2518.62,17.7
2021-12-13,9.068,3,2548.84,18.7
2021-12-14,8.867,3,2936.86,19.7
2021-12-15,8.617,3,2911.22,19.7
2021-12-16,8.867,3,2937.01,19.1
2021-12-17,9.053,3,3106.82,19.2
2021-12-18,8.919,3,3069.49,19.8
2021-12-19,8.638,3,3034.66,19.9
2021-12-20,8.899,3,3031.57,19.1
2021-12-21,9.003,3,3067.12,19.6
2021-12-22,8.939,3,2811.68,20.1
2021-12-23,8.865,3,2957.13,20.3
2021-12-24,8.805,3,2977.98,20.7
2021-12-25,8.754,3,3246.48,21.1
2021-12-26,8.919,3,3549.71,20.3
2021-12-27,9.103,3,3560.61,19.3
2021-12-28,9.222,3,3563.65,19.2
2021-12-29,9.222,3,3565.91,19.5
2021-12-30,9.069,3,3553.42,20.1
2021-12-31,8.849,3,3530.0,20.8
2022-01-01,8.713,3,3514.06,21.3
2022-01-02,8.542,3,3483.07,21.3
2022-01-03,8.7,3,3466.0,20.8
2022-01-04,8.949,3,3453.81,20.4
2022-01-05,8.779,3,3219.84,20.4
2022-01-06,8.672,3,2268.72,20.5
2022-01-07,8.485,3,2357.57,20.6
2022-01-08,8.586,3,2981.34,20.5
2022-01-09,8.894,3,3636.08,20.0
2022-01-10,8.771,3,3493.86,20.5
2022-01-11,8.572,3,3273.35,21.2
2022-01-12,8.493,3,2897.82,21.7
2022-01-13,8.388,3,2776.62,22.2
2022-01-14,8.167,3,2566.81,22.4
2022-01-15,8.092,3,2508.06,22.3
2022-01-16,8.188,3,2369.0,22.1
2022-01-17,8.069,3,2350.39,22.6
2022-01-18,8.223,3,2295.06,22.0
2022-01-19,8.44,3,2293.84,21.5
2022-01-20,8.488,3,2588.55,21.6
2022-01-21,8.638,3,3440.26,21.2
2022-01-22,8.75,3,3589.51,21.2
2022-01-23,8.857,3,3775.27,20.7
2022-01-24,8.857,3,3264.77,20.9
2022-01-25,8.549,3,3261.87,21.6
2022-01-26,8.418,3,3256.8,22.1
2022-01-27,8.236,3,3279.96,21.9
2022-01-28,8.29,3,3611.1,21.2
2022-01-29,7.622,3,4219.49,20.8
2022-01-30,7.651,3,3773.68,20.5
2022-01-31,7.646,3,2972.57,21.5
2022-02-01,7.432,3,2633.9,22.1
2022-02-02,7.736,3,2594.55,20.8
2022-02-03,8.579,3,3013.52,19.1
2022-02-04,9.439,3,3025.93,18.0
2022-02-05,9.54,3,3016.23,18.3
2022-02-06,9.56,3,2998.59,18.6
2022-02-07,9.393,3,2973.35,19.2
2022-02-08,9.193,3,2882.46,19.7
2022-02-09,8.994,3,2685.07,19.7
2022-02-10,9.053,3,2761.62,19.6
2022-02-11,9.293,3,3177.42,18.8
2022-02-12,9.425,3,4311.87,18.0
2022-02-13,9.477,3,4454.56,18.0
2022-02-14,9.415,3,4243.71,18.4
2022-02-15,9.18,3,3178.79,19.5
2022-02-16,8.844,3,3086.27,20.2
2022-02-17,8.659,3,3147.53,20.5
2022-02-18,8.954,3,3393.85,19.0
2022-02-19,9.291,3,3409.6,18.0
2022-02-20,9.332,3,3367.38,18.0
2022-02-21,9.243,3,3332.38,18.0
2022-02-22,9.116,3,3305.4,18.0
2022-02-23,9.042,3,3261.49,18.6
2022-02-24,8.944,3,3123.27,19.1
2022-02-25,8.871,3,3099.67,19.5
2022-02-26,8.814,3,3089.7,19.5
2022-02-27,8.636,3,3019.97,19.4
2022-02-28,8.52,3,2920.97,19.2
2022-03-01,8.843,3,2942.48,18.8
2022-03-02,9.217,3,2994.02,18.8
2022-03-03,9.271,3,3082.46,19.1
2022-03-04,9.15,3,3085.33,19.5
2022-03-05,8.924,3,3014.29,19.4
2022-03-06,9.06,3,2706.78,19.1
2022-03-07,9.144,3,3074.85,19.2
2022-03-08,9.077,3,2804.46,19.1
2022-03-09,9.191,3,3019.1,18.6
2022-03-10,9.436,3,3359.47,17.9
2022-03-11,9.71,3,3406.83,17.2
2022-03-12,9.86,3,3727.79,16.8
2022-03-13,9.88,3,4419.16,16.5
2022-03-14,9.884,3,5473.25,16.2
2022-03-15,9.733,3,6723.77,15.5
2022-03-16,9.734,3,7581.33,14.7
2022-03-17,9.798,3,8228.59,14.1
2022-03-18,10.021,3,8588.75,14.1
2022-03-19,10.032,3,8539.21,14.5
2022-03-20,9.896,3,7853.93,15.1
2022-03-21,9.926,3,7485.93,15.1
2022-03-22,9.865,3,6908.18,15.1
2022-03-23,9.847,3,6442.46,14.9
2022-03-24,9.989,3,5883.77,14.5
2022-03-25,10.135,3,5685.84,14.4
2022-03-26,10.2,3,5665.4,14.3
2022-03-27,10.071,3,5632.45,14.6
2022-03-28,9.911,3,5621.7,14.6
2022-03-29,9.853,3,5611.94,14.7
2022-03-30,9.839,3,5495.41,14.8
2022-03-31,9.916,3,5124.86,14.6
2022-04-01,9.971,3,4938.26,14.3
2022-04-02,9.992,3,4904.96,13.8
2022-04-03,10.101,3,5084.5,13.6
2022-04-04,9.948,3,5556.77,13.4
2022-04-05,10.011,3,5692.32,13.4
2022-04-06,10.253,3,6117.92,13.5
2022-04-07,10.561,3,6442.6,13.7
2022-04-08,10.517,3,6466.61,13.8
2022-04-09,10.42,3,6389.91,13.8
2022-04-10,10.376,3,5961.89,13.8
2022-04-11,10.354,3,5614.74,14.0
2022-04-12,10.522,3,5279.67,13.5
2022-04-13,10.665,3,3906.49,13.2
2022-04-14,10.763,3,3403.08,13.2
2022-04-15,10.717,3,3267.8,13.3
2022-04-16,10.598,3,2929.27,13.8
2022-04-17,10.46,3,2705.49,14.1
2022-04-18,10.087,3,2817.72,14.4
2022-04-19,9.913,3,2986.4,14.1
2022-04-20,10.013,3,2798.77,13.6
2022-04-21,10.103,3,2312.44,13.4
2022-04-22,10.104,3,1887.7,13.0
2022-04-23,10.28,3,3074.61,12.7
2022-04-24,10.545,3,2015.57,12.6
2022-04-25,10.478,3,1233.65,12.5
2022-04-26,10.368,3,1032.74,12.6
2022-04-27,10.209,3,970.06,13.0
2022-04-28,9.991,3,926.24,13.6
2022-04-29,9.885,3,883.68,14.3
2022-04-30,9.745,3,946.99,14.5
2022-05-01,9.863,3,1241.76,13.8
2022-05-02,9.869,3,2557.52,13.6
2022-05-03,9.798,3,2714.31,12.9
2022-05-04,10.038,3,1716.17,12.4
2022-05-05,10.081,3,1120.96,11.9
2022-05-06,10.23,3,2371.75,11.3
2022-05-07,10.486,3,2702.12,10.9
2022-05-08,10.628,3,1912.67,10.9
2022-05-09,10.783,3,1240.26,10.7
2022-05-10,10.847,3,1188.79,10.6
2022-05-11,10.767,3,1012.51,10.9
2022-05-12,10.56,3,893.85,11.2
2022-05-13,10.255,3,876.19,12.0
2022-05-14,9.862,3,862.04,12.7
2022-05-15,9.61,3,946.08,13.4
2022-05-16,9.555,3,1032.6,13.5
2022-05-17,9.734,3,1065.17,12.8
2022-05-18,9.901,3,982.57,12.4
2022-05-19,10.051,3,927.84,11.7
2022-05-20,10.323,3,955.15,11.4
2022-05-21,10.554,3,943.13,10.8
2022-05-22,10.756,3,886.22,10.3
2022-05-23,11.019,3,1183.72,9.7
2022-05-24,11.159,3,1269.41,9.4
2022-05-25,11.258,3,1319.15,9.2
2022-05-26,11.027,3,2082.17,9.5
2022-05-27,10.742,3,2189.54,10.5
2022-05-28,10.447,3,2545.68,11.3
2022-05-29,10.232,3,3240.79,11.2
2022-05-30,10.24,3,3257.58,10.7
2022-05-31,10.401,3,3442.76,10.4
2022-06-01,10.56,3,4219.61,10.2
2022-06-02,10.754,3,4538.1,10.2
2022-06-03,10.813,3,5356.95,10.2
2022-06-04,10.657,3,5811.85,10.3
2022-06-05,10.395,3,5545.38,10.9
2022-06-06,10.292,3,6131.67,11.2
2022-06-07,10.421,3,6722.09,10.4
2022-06-08,10.763,3,4790.84,9.6
2022-06-09,10.865,3,3340.3,9.5
