Date Time,VALUE,QUALITY,COMMENT
2017/01/24 00:00:00,0.0,255,
2017/01/25 00:00:00,22.9,2,
2017/01/26 00:00:00,22.4,2,
2017/01/27 00:00:00,22.7,2,
2017/01/28 00:00:00,23.4,2,
2017/01/29 00:00:00,24.2,2,
2017/01/30 00:00:00,23.6,2,
2017/01/31 00:00:00,22.9,2,
2017/02/01 00:00:00,21.3,2,
2017/02/02 00:00:00,20.2,2,
2017/02/03 00:00:00,21.1,2,
2017/02/04 00:00:00,22.0,2,
2017/02/05 00:00:00,22.7,2,
2017/02/06 00:00:00,22.1,2,
2017/02/07 00:00:00,21.2,2,
2017/02/08 00:00:00,23.1,2,
2017/02/09 00:00:00,25.5,2,
2017/02/10 00:00:00,26.9,2,
2017/02/11 00:00:00,27.9,2,
2017/02/12 00:00:00,24.3,2,
2017/02/13 00:00:00,20.8,2,
2017/02/14 00:00:00,20.6,2,
2017/02/15 00:00:00,20.7,2,
2017/02/16 00:00:00,22.0,2,
2017/02/17 00:00:00,21.6,2,
2017/02/18 00:00:00,19.7,2,
2017/02/19 00:00:00,17.5,2,
2017/02/20 00:00:00,16.6,2,
2017/02/21 00:00:00,17.2,2,
2017/02/22 00:00:00,18.6,2,
2017/02/23 00:00:00,19.7,2,
2017/02/24 00:00:00,20.1,2,
2017/02/25 00:00:00,19.2,2,
2017/02/26 00:00:00,19.3,2,
2017/02/27 00:00:00,21.0,2,
2017/02/28 00:00:00,22.0,2,
2017/03/01 00:00:00,22.9,2,
2017/03/02 00:00:00,22.9,2,
2017/03/03 00:00:00,22.5,2,
2017/03/04 00:00:00,23.2,2,
2017/03/05 00:00:00,23.6,2,
2017/03/06 00:00:00,22.8,2,
2017/03/07 00:00:00,22.1,2,
2017/03/08 00:00:00,21.8,2,
2017/03/09 00:00:00,21.8,2,
2017/03/10 00:00:00,22.0,2,
2017/03/11 00:00:00,22.0,2,
2017/03/12 00:00:00,21.2,2,
2017/03/13 00:00:00,20.7,2,
2017/03/14 00:00:00,21.7,2,
2017/03/15 00:00:00,22.3,2,
2017/03/16 00:00:00,22.8,2,
2017/03/17 00:00:00,20.5,2,
2017/03/18 00:00:00,19.8,2,
2017/03/19 00:00:00,21.3,2,
2017/03/20 00:00:00,23.1,2,
2017/03/21 00:00:00,23.5,2,
2017/03/22 00:00:00,22.9,2,
2017/03/23 00:00:00,21.4,2,
2017/03/24 00:00:00,20.6,2,
2017/03/25 00:00:00,21.5,2,
2017/03/26 00:00:00,22.0,2,
2017/03/27 00:00:00,21.4,2,
2017/03/28 00:00:00,19.0,2,
2017/03/29 00:00:00,18.4,2,
2017/03/30 00:00:00,16.5,2,
2017/03/31 00:00:00,15.4,2,
2017/04/01 00:00:00,15.3,2,
2017/04/02 00:00:00,15.3,2,
2017/04/03 00:00:00,15.1,2,
2017/04/04 00:00:00,15.8,2,
2017/04/05 00:00:00,16.0,2,
2017/04/06 00:00:00,16.1,2,
2017/04/07 00:00:00,16.4,2,
2017/04/08 00:00:00,17.4,2,
2017/04/09 00:00:00,15.9,2,
2017/04/10 00:00:00,13.3,2,
2017/04/11 00:00:00,13.6,2,
2017/04/12 00:00:00,15.1,2,
2017/04/13 00:00:00,16.0,2,
2017/04/14 00:00:00,16.3,2,
2017/04/15 00:00:00,16.1,2,
2017/04/16 00:00:00,15.9,2,
2017/04/17 00:00:00,16.1,2,
2017/04/18 00:00:00,16.2,2,
2017/04/19 00:00:00,16.2,2,
2017/04/20 00:00:00,16.5,2,
2017/04/21 00:00:00,17.1,2,
2017/04/22 00:00:00,17.3,2,
2017/04/23 00:00:00,17.5,2,
2017/04/24 00:00:00,17.7,2,
2017/04/25 00:00:00,17.9,2,
2017/04/26 00:00:00,16.4,2,
2017/04/27 00:00:00,14.2,2,
2017/04/28 00:00:00,14.2,2,
2017/04/29 00:00:00,14.6,2,
2017/04/30 00:00:00,15.0,2,
2017/05/01 00:00:00,15.1,2,
2017/05/02 00:00:00,14.2,2,
2017/05/03 00:00:00,13.0,2,
2017/05/04 00:00:00,12.3,2,
2017/05/05 00:00:00,12.2,2,
2017/05/06 00:00:00,12.9,2,
2017/05/07 00:00:00,12.2,2,
2017/05/08 00:00:00,11.7,2,
2017/05/09 00:00:00,12.1,2,
2017/05/10 00:00:00,11.9,2,
2017/05/11 00:00:00,11.6,2,
2017/05/12 00:00:00,11.6,2,
2017/05/13 00:00:00,11.6,2,
2017/05/14 00:00:00,11.4,2,
2017/05/15 00:00:00,11.1,2,
2017/05/16 00:00:00,11.0,2,
2017/05/17 00:00:00,11.3,2,
2017/05/18 00:00:00,11.9,2,
2017/05/19 00:00:00,12.9,2,
2017/05/20 00:00:00,13.1,2,
2017/05/21 00:00:00,13.2,2,
2017/05/22 00:00:00,13.1,2,
2017/05/23 00:00:00,13.2,2,
2017/05/24 00:00:00,13.0,2,
2017/05/25 00:00:00,13.1,2,
2017/05/26 00:00:00,13.1,2,
2017/05/27 00:00:00,13.0,2,
2017/05/28 00:00:00,12.8,2,
2017/05/29 00:00:00,11.5,2,
2017/05/30 00:00:00,11.4,2,
2017/05/31 00:00:00,10.5,2,
2017/06/01 00:00:00,9.9,2,
2017/06/02 00:00:00,9.3,2,
2017/06/03 00:00:00,9.0,2,
2017/06/04 00:00:00,8.7,2,
2017/06/05 00:00:00,8.7,2,
2017/06/06 00:00:00,8.9,2,
2017/06/07 00:00:00,8.7,2,
2017/06/08 00:00:00,8.6,2,
2017/06/09 00:00:00,8.6,2,
2017/06/10 00:00:00,8.7,2,
2017/06/11 00:00:00,8.8,2,
2017/06/12 00:00:00,8.9,2,
2017/06/13 00:00:00,9.2,2,
