Date Time,VALUE,QUALITY,COMMENT
2020/11/11 00:00:00,0.000,255,
2020/11/12 00:00:00,8.025,2,
2020/11/13 00:00:00,8.156,2,
2020/11/14 00:00:00,8.375,2,
2020/11/15 00:00:00,8.519,2,
2020/11/16 00:00:00,8.580,2,
2020/11/17 00:00:00,8.773,2,
2020/11/18 00:00:00,8.875,2,
2020/11/19 00:00:00,8.721,2,
2020/11/20 00:00:00,8.464,2,
2020/11/21 00:00:00,8.337,2,
2020/11/22 00:00:00,8.172,2,
2020/11/23 00:00:00,7.924,2,
2020/11/24 00:00:00,8.645,2,
2020/11/25 00:00:00,8.711,2,
2020/11/26 00:00:00,8.541,2,
2020/11/27 00:00:00,8.749,2,
2020/11/28 00:00:00,8.173,2,
2020/11/29 00:00:00,8.395,2,
2020/11/30 00:00:00,8.484,2,
2020/12/01 00:00:00,8.185,2,
2020/12/02 00:00:00,8.439,2,
2020/12/03 00:00:00,8.582,2,
2020/12/04 00:00:00,8.545,2,
2020/12/05 00:00:00,8.328,2,
2020/12/06 00:00:00,8.376,2,
2020/12/07 00:00:00,8.398,2,
2020/12/08 00:00:00,8.809,2,
2020/12/09 00:00:00,9.203,2,
2020/12/10 00:00:00,9.034,2,
2020/12/11 00:00:00,9.305,2,
2020/12/12 00:00:00,9.124,2,
2020/12/13 00:00:00,8.840,2,
2020/12/14 00:00:00,8.453,2,
2020/12/15 00:00:00,8.029,2,
2020/12/16 00:00:00,7.758,2,
2020/12/17 00:00:00,7.908,2,
2020/12/18 00:00:00,7.976,2,
2020/12/19 00:00:00,8.676,2,
2020/12/20 00:00:00,8.759,2,
2020/12/21 00:00:00,8.637,2,
2020/12/22 00:00:00,8.493,2,
2020/12/23 00:00:00,8.490,2,
2020/12/24 00:00:00,8.728,2,
2020/12/25 00:00:00,9.038,2,
2020/12/26 00:00:00,9.038,2,
2020/12/27 00:00:00,8.496,2,
2020/12/28 00:00:00,8.282,2,
2020/12/29 00:00:00,8.573,2,
2020/12/30 00:00:00,8.906,2,
2020/12/31 00:00:00,8.455,2,
2021/01/01 00:00:00,8.533,2,
2021/01/02 00:00:00,8.237,2,
2021/01/03 00:00:00,7.900,2,
2021/01/04 00:00:00,7.940,2,
2021/01/05 00:00:00,8.147,2,
2021/01/06 00:00:00,8.789,2,
2021/01/07 00:00:00,9.029,2,
2021/01/08 00:00:00,9.087,2,
2021/01/09 00:00:00,8.852,2,
2021/01/10 00:00:00,8.595,2,
2021/01/11 00:00:00,8.176,2,
2021/01/12 00:00:00,7.960,2,
2021/01/13 00:00:00,7.901,2,
2021/01/14 00:00:00,7.832,2,
2021/01/15 00:00:00,8.030,2,
2021/01/16 00:00:00,8.129,2,
2021/01/17 00:00:00,8.933,2,
2021/01/18 00:00:00,8.906,2,
2021/01/19 00:00:00,8.628,2,
2021/01/20 00:00:00,8.816,2,
2021/01/21 00:00:00,8.479,2,
2021/01/22 00:00:00,8.599,2,
2021/01/23 00:00:00,8.475,2,
2021/01/24 00:00:00,8.103,2,
2021/01/25 00:00:00,7.990,2,
2021/01/26 00:00:00,7.375,2,
2021/01/27 00:00:00,7.422,2,
2021/01/28 00:00:00,8.026,2,
2021/01/29 00:00:00,8.207,2,
2021/01/30 00:00:00,8.456,2,
2021/01/31 00:00:00,8.888,2,
2021/02/01 00:00:00,8.950,2,
2021/02/02 00:00:00,9.063,2,
2021/02/03 00:00:00,9.205,2,
2021/02/04 00:00:00,9.243,2,
2021/02/05 00:00:00,8.631,2,
2021/02/06 00:00:00,8.743,2,
2021/02/07 00:00:00,8.930,2,
2021/02/08 00:00:00,9.317,2,
2021/02/09 00:00:00,9.282,2,
2021/02/10 00:00:00,9.091,2,
2021/02/11 00:00:00,8.617,2,
2021/02/12 00:00:00,8.078,2,
2021/02/13 00:00:00,8.577,2,
2021/02/14 00:00:00,8.807,2,
2021/02/15 00:00:00,9.049,2,
2021/02/16 00:00:00,9.133,2,
2021/02/17 00:00:00,9.084,2,
2021/02/18 00:00:00,8.887,2,
2021/02/19 00:00:00,8.710,2,
2021/02/20 00:00:00,8.476,2,
2021/02/21 00:00:00,8.291,2,
2021/02/22 00:00:00,8.069,2,
2021/02/23 00:00:00,8.274,2,
2021/02/24 00:00:00,8.873,2,
2021/02/25 00:00:00,9.224,2,
2021/02/26 00:00:00,9.078,2,
2021/02/27 00:00:00,8.943,2,
2021/02/28 00:00:00,9.186,2,
2021/03/01 00:00:00,9.052,2,
2021/03/02 00:00:00,9.011,2,
2021/03/03 00:00:00,9.149,2,
2021/03/04 00:00:00,9.468,2,
2021/03/05 00:00:00,9.378,2,
2021/03/06 00:00:00,9.066,2,
2021/03/07 00:00:00,9.203,2,
2021/03/08 00:00:00,9.087,2,
2021/03/09 00:00:00,8.758,2,
2021/03/10 00:00:00,8.927,2,
2021/03/11 00:00:00,8.807,2,
2021/03/12 00:00:00,8.581,2,
2021/03/13 00:00:00,8.487,2,
2021/03/14 00:00:00,8.334,2,
2021/03/15 00:00:00,8.657,2,
2021/03/16 00:00:00,8.898,2,
2021/03/17 00:00:00,9.026,2,
2021/03/18 00:00:00,8.848,2,
2021/03/19 00:00:00,8.920,2,
2021/03/20 00:00:00,8.965,2,
2021/03/21 00:00:00,8.976,2,
2021/03/22 00:00:00,8.704,2,
2021/03/23 00:00:00,8.390,2,
2021/03/24 00:00:00,8.606,2,
2021/03/25 00:00:00,8.771,2,
2021/03/26 00:00:00,9.050,2,
2021/03/27 00:00:00,9.093,2,
2021/03/28 00:00:00,9.258,2,
2021/03/29 00:00:00,9.521,2,
2021/03/30 00:00:00,9.468,2,
2021/03/31 00:00:00,9.365,2,
2021/04/01 00:00:00,9.248,2,
2021/04/02 00:00:00,9.214,2,
2021/04/03 00:00:00,8.838,2,
2021/04/04 00:00:00,8.715,2,
2021/04/05 00:00:00,8.749,2,
2021/04/06 00:00:00,8.964,2,
2021/04/07 00:00:00,8.911,2,
2021/04/08 00:00:00,8.657,2,
2021/04/09 00:00:00,8.769,2,
2021/04/10 00:00:00,8.940,2,
2021/04/11 00:00:00,9.397,2,
2021/04/12 00:00:00,9.769,2,
2021/04/13 00:00:00,9.870,2,
2021/04/14 00:00:00,9.745,2,
2021/04/15 00:00:00,9.580,2,
2021/04/16 00:00:00,9.848,2,
2021/04/17 00:00:00,10.083,2,
2021/04/18 00:00:00,10.311,2,
2021/04/19 00:00:00,10.049,2,
2021/04/20 00:00:00,10.026,2,
2021/04/21 00:00:00,10.127,2,
2021/04/22 00:00:00,10.200,2,
2021/04/23 00:00:00,10.246,2,
2021/04/24 00:00:00,10.396,2,
2021/04/25 00:00:00,10.610,2,
2021/04/26 00:00:00,10.552,2,
2021/04/27 00:00:00,10.623,2,
2021/04/28 00:00:00,10.444,2,
2021/04/29 00:00:00,10.289,2,
2021/04/30 00:00:00,10.286,2,
2021/05/01 00:00:00,10.380,2,
2021/05/02 00:00:00,10.475,2,
2021/05/03 00:00:00,10.355,2,
2021/05/04 00:00:00,10.021,2,
2021/05/05 00:00:00,9.951,2,
2021/05/06 00:00:00,10.392,2,
2021/05/07 00:00:00,10.298,2,
2021/05/08 00:00:00,10.111,2,
