Date Time,Oxygen,oxygen_quality,Streamflow,Temperature
2018-08-16,9.202,2,391.73,0.0
2018-08-17,9.22,2,313.27,10.2
2018-08-18,9.173,2,422.71,10.0
2018-08-19,9.664,2,545.28,9.1
2018-08-20,9.327,2,542.62,10.1
2018-08-21,9.19,2,436.26,10.7
2018-08-22,9.323,2,366.91,10.6
2018-08-23,9.367,2,292.2,10.8
2018-08-24,9.446,2,218.57,10.8
2018-08-25,9.278,2,178.92,11.5
2018-08-26,9.378,2,155.38,11.0
2018-08-27,9.731,2,139.62,10.4
2018-08-28,9.905,2,122.48,9.9
2018-08-29,10.149,2,108.44,9.1
2018-08-30,9.542,2,98.85,9.9
2018-08-31,9.404,2,94.48,10.9
2018-09-01,9.196,2,91.98,11.9
2018-09-02,9.606,2,93.02,10.9
2018-09-03,9.87,2,91.79,10.5
2018-09-04,9.885,2,83.12,10.5
2018-09-05,9.639,2,75.66,11.0
2018-09-06,9.175,2,69.08,12.1
2018-09-07,9.407,2,80.37,11.7
2018-09-08,9.706,2,78.84,10.8
2018-09-09,9.376,2,70.05,12.0
2018-09-10,8.815,2,68.36,14.3
2018-09-11,8.547,2,65.72,14.6
2018-09-12,9.113,2,65.67,12.7
2018-09-13,9.327,2,66.04,12.3
2018-09-14,9.089,2,58.19,13.1
2018-09-15,9.029,2,53.05,12.6
2018-09-16,9.782,2,56.2,11.1
2018-09-17,9.375,2,52.0,12.4
2018-09-18,9.302,2,46.57,11.9
2018-09-19,9.509,2,55.56,11.9
2018-09-20,9.464,2,58.3,12.3
2018-09-21,9.131,2,50.18,13.6
2018-09-22,9.047,2,46.15,13.7
2018-09-23,9.114,2,46.82,13.7
2018-09-24,9.477,2,41.99,12.3
2018-09-25,9.494,2,37.18,12.3
2018-09-26,9.261,2,33.14,12.8
2018-09-27,8.938,2,29.53,13.4
2018-09-28,8.97,2,28.49,13.2
2018-09-29,9.553,2,28.94,11.7
2018-09-30,9.168,2,27.58,13.4
2018-10-01,8.82,2,24.88,14.1
2018-10-02,8.198,2,21.84,15.8
2018-10-03,7.938,2,19.58,15.7
2018-10-04,8.806,2,18.2,13.3
2018-10-05,8.933,2,17.25,13.2
2018-10-06,8.692,2,16.49,14.0
2018-10-07,7.977,2,15.67,15.9
2018-10-08,7.716,2,14.99,16.5
2018-10-09,7.51,2,15.64,15.7
2018-10-10,8.994,2,15.93,12.9
2018-10-11,8.989,2,14.19,13.4
2018-10-12,8.413,2,12.49,14.8
2018-10-13,7.854,2,11.17,16.2
2018-10-14,7.406,2,9.82,17.1
2018-10-15,6.963,2,9.09,17.3
2018-10-16,7.426,2,9.73,17.1
2018-10-17,7.171,2,9.97,17.2
2018-10-18,7.573,2,10.91,16.2
2018-10-19,7.869,2,11.38,16.0
2018-10-20,7.816,2,10.53,16.3
2018-10-21,7.915,2,9.31,15.7
2018-10-22,8.058,2,8.13,15.6
2018-10-23,7.812,2,6.99,16.0
2018-10-24,8.037,2,6.0,15.1
2018-10-25,8.096,2,5.38,14.8
2018-10-26,8.041,2,5.0,15.1
2018-10-27,7.898,2,4.78,15.1
2018-10-28,8.143,2,4.69,14.8
2018-10-29,8.104,2,4.48,15.1
2018-10-30,8.077,2,3.98,15.3
2018-10-31,7.441,2,3.79,16.0
2018-11-01,7.361,2,3.87,16.7
2018-11-02,7.188,2,3.6,17.8
2018-11-03,7.133,2,3.03,16.4
2018-11-04,7.138,2,2.88,16.2
2018-11-05,6.487,2,3.18,16.6
2018-11-06,6.601,2,3.22,16.4
2018-11-07,6.949,2,3.21,15.5
2018-11-08,7.294,2,3.16,14.9
2018-11-09,7.373,2,3.02,15.2
2018-11-10,7.231,2,3.22,15.5
2018-11-11,7.576,2,3.02,15.6
2018-11-12,6.914,2,2.94,16.0
2018-11-13,6.777,2,2.88,17.1
2018-11-14,6.72,2,2.65,16.9
2018-11-15,6.911,2,2.4,16.4
2018-11-16,7.056,2,2.18,15.7
