Date Time,VALUE,QUALITY,COMMENT
2014/09/09 00:00:00,501.43,2,
2014/09/10 00:00:00,471.98,2,
2014/09/11 00:00:00,444.98,2,
2014/09/12 00:00:00,417.25,2,
2014/09/13 00:00:00,395.54,2,
2014/09/14 00:00:00,380.19,2,
2014/09/15 00:00:00,370.90,2,
2014/09/16 00:00:00,363.84,2,
2014/09/17 00:00:00,354.78,2,
2014/09/18 00:00:00,343.61,2,
2014/09/19 00:00:00,333.86,2,
2014/09/20 00:00:00,321.03,2,
2014/09/21 00:00:00,309.00,2,
2014/09/22 00:00:00,298.50,2,
2014/09/23 00:00:00,289.22,2,
2014/09/24 00:00:00,282.93,2,
2014/09/25 00:00:00,277.28,2,
2014/09/26 00:00:00,270.60,2,
2014/09/27 00:00:00,267.05,2,
2014/09/28 00:00:00,264.14,2,
2014/09/29 00:00:00,261.21,2,
2014/09/30 00:00:00,261.07,2,
2014/10/01 00:00:00,261.75,2,
2014/10/02 00:00:00,257.97,2,
2014/10/03 00:00:00,257.78,2,
2014/10/04 00:00:00,253.04,2,
2014/10/05 00:00:00,244.93,2,
2014/10/06 00:00:00,237.46,2,
2014/10/07 00:00:00,232.81,2,
2014/10/08 00:00:00,226.16,2,
2014/10/09 00:00:00,221.28,2,
2014/10/10 00:00:00,217.20,2,
2014/10/11 00:00:00,212.69,2,
2014/10/12 00:00:00,207.51,2,
2014/10/13 00:00:00,205.99,2,
2014/10/14 00:00:00,201.00,2,
2014/10/15 00:00:00,196.72,2,
2014/10/16 00:00:00,195.30,2,
2014/10/17 00:00:00,193.48,2,
2014/10/18 00:00:00,191.16,2,
2014/10/19 00:00:00,188.34,2,
2014/10/20 00:00:00,183.73,2,
2014/10/21 00:00:00,179.82,2,
2014/10/22 00:00:00,185.64,2,
2014/10/23 00:00:00,198.34,2,
2014/10/24 00:00:00,209.04,2,
2014/10/25 00:00:00,232.11,2,
2014/10/26 00:00:00,260.56,2,
2014/10/27 00:00:00,267.62,2,
2014/10/28 00:00:00,252.03,2,
2014/10/29 00:00:00,232.70,2,
2014/10/30 00:00:00,217.67,2,
2014/10/31 00:00:00,205.72,2,
2014/11/01 00:00:00,200.47,2,
2014/11/02 00:00:00,192.90,2,
2014/11/03 00:00:00,181.05,2,
2014/11/04 00:00:00,171.26,2,
2014/11/05 00:00:00,164.09,2,
2014/11/06 00:00:00,159.50,2,
2014/11/07 00:00:00,152.79,2,
2014/11/08 00:00:00,148.25,2,
2014/11/09 00:00:00,145.10,2,
2014/11/10 00:00:00,141.53,2,
2014/11/11 00:00:00,136.18,2,
2014/11/12 00:00:00,133.09,2,
2014/11/13 00:00:00,130.63,2,
2014/11/14 00:00:00,129.95,2,
2014/11/15 00:00:00,129.12,2,
2014/11/16 00:00:00,130.15,2,
2014/11/17 00:00:00,131.45,2,
2014/11/18 00:00:00,131.92,2,
2014/11/19 00:00:00,131.31,2,
2014/11/20 00:00:00,130.10,2,
2014/11/21 00:00:00,127.40,2,
2014/11/22 00:00:00,122.27,2,
2014/11/23 00:00:00,116.30,2,
2014/11/24 00:00:00,112.40,2,
2014/11/25 00:00:00,107.93,2,
2014/11/26 00:00:00,102.33,2,
2014/11/27 00:00:00,98.15,2,
2014/11/28 00:00:00,94.88,2,
2014/11/29 00:00:00,92.51,2,
2014/11/30 00:00:00,89.88,2,
2014/12/01 00:00:00,87.60,2,
2014/12/02 00:00:00,85.45,2,
2014/12/03 00:00:00,85.54,2,
2014/12/04 00:00:00,89.30,2,
2014/12/05 00:00:00,89.86,2,
2014/12/06 00:00:00,88.68,2,
2014/12/07 00:00:00,89.02,2,
2014/12/08 00:00:00,86.58,2,
2014/12/09 00:00:00,82.15,2,
2014/12/10 00:00:00,79.27,2,
2014/12/11 00:00:00,77.65,2,
2014/12/12 00:00:00,75.75,2,
2014/12/13 00:00:00,72.68,2,
2014/12/14 00:00:00,69.25,2,
2014/12/15 00:00:00,66.02,2,
2014/12/16 00:00:00,64.57,2,
2014/12/17 00:00:00,64.71,2,
2014/12/18 00:00:00,64.23,2,
2014/12/19 00:00:00,60.87,2,
2014/12/20 00:00:00,58.54,2,
2014/12/21 00:00:00,56.02,2,
2014/12/22 00:00:00,54.67,2,
2014/12/23 00:00:00,54.60,2,
2014/12/24 00:00:00,52.73,2,
2014/12/25 00:00:00,50.63,2,
2014/12/26 00:00:00,48.24,2,
2014/12/27 00:00:00,46.34,2,
2014/12/28 00:00:00,44.32,2,
2014/12/29 00:00:00,45.01,2,
2014/12/30 00:00:00,44.64,2,
2014/12/31 00:00:00,42.32,2,
2015/01/01 00:00:00,41.61,2,
2015/01/02 00:00:00,41.46,2,
2015/01/03 00:00:00,41.15,2,
2015/01/04 00:00:00,41.27,2,
2015/01/05 00:00:00,40.25,2,
2015/01/06 00:00:00,39.94,2,
2015/01/07 00:00:00,39.89,2,
2015/01/08 00:00:00,41.57,2,
2015/01/09 00:00:00,43.36,2,
2015/01/10 00:00:00,44.72,2,
2015/01/11 00:00:00,45.59,2,
2015/01/12 00:00:00,47.22,2,
2015/01/13 00:00:00,89.15,2,
2015/01/14 00:00:00,103.23,2,
2015/01/15 00:00:00,216.17,2,
2015/01/16 00:00:00,165.58,2,
2015/01/17 00:00:00,168.20,2,
2015/01/18 00:00:00,164.30,2,
2015/01/19 00:00:00,136.94,2,
2015/01/20 00:00:00,124.61,2,
2015/01/21 00:00:00,114.31,2,
2015/01/22 00:00:00,107.94,2,
2015/01/23 00:00:00,109.89,2,
2015/01/24 00:00:00,107.30,2,
2015/01/25 00:00:00,100.93,2,
2015/01/26 00:00:00,93.82,2,
2015/01/27 00:00:00,89.95,2,
2015/01/28 00:00:00,86.71,2,
2015/01/29 00:00:00,82.43,2,
2015/01/30 00:00:00,78.48,2,
2015/01/31 00:00:00,75.66,2,
2015/02/01 00:00:00,72.33,2,
2015/02/02 00:00:00,68.94,2,
2015/02/03 00:00:00,65.97,2,
2015/02/04 00:00:00,63.42,2,
2015/02/05 00:00:00,60.36,2,
2015/02/06 00:00:00,58.68,2,
2015/02/07 00:00:00,57.65,2,
2015/02/08 00:00:00,56.70,2,
