Date Time,Oxygen,QUALITY,Streamflow,Temperature
2019-11-20,0.0,255,0.0,0.0
2019-11-21,8.83,2,0.0,19.4
2019-11-22,8.608,2,0.0,20.5
2019-11-23,8.798,2,0.0,19.8
2019-11-24,8.837,2,0.0,19.6
2019-11-25,8.832,2,0.0,19.4
2019-11-26,8.656,2,0.0,19.1
2019-11-27,9.334,2,0.0,16.9
2019-11-28,9.162,2,0.0,17.8
2019-11-29,8.703,2,0.0,19.4
2019-11-30,8.538,2,0.0,19.8
2019-12-01,9.182,2,0.0,15.8
2019-12-02,9.724,2,0.0,14.1
2019-12-03,9.827,2,0.0,13.8
2019-12-04,9.763,2,0.0,14.9
2019-12-05,9.404,2,0.0,16.6
2019-12-06,9.148,2,0.0,17.9
2019-12-07,9.206,2,0.0,18.0
2019-12-08,8.859,2,0.0,19.2
2019-12-09,8.582,2,0.0,20.5
2019-12-10,8.297,2,0.0,21.5
2019-12-11,8.256,2,0.0,21.7
2019-12-12,8.461,2,0.0,21.2
2019-12-13,8.886,2,0.0,20.5
2019-12-14,8.914,2,0.0,20.5
2019-12-15,8.95,2,0.0,20.7
2019-12-16,8.772,2,0.0,21.1
2019-12-17,8.721,2,0.0,22.3
2019-12-18,8.614,2,0.0,23.2
2019-12-19,8.342,2,0.0,23.9
2019-12-20,8.286,2,0.0,24.5
2019-12-21,8.28,2,0.0,24.4
2019-12-22,8.319,2,0.0,23.8
2019-12-23,8.579,2,0.0,23.3
2019-12-24,8.321,2,0.0,23.9
2019-12-25,8.391,2,0.0,24.1
2019-12-26,8.272,2,0.0,24.4
2019-12-27,8.248,2,0.0,25.0
2019-12-28,8.301,2,0.0,23.8
2019-12-29,8.235,2,0.0,24.8
2019-12-30,7.907,2,0.0,25.0
2019-12-31,7.959,2,0.0,24.7
2020-01-01,8.308,2,0.0,23.7
2020-01-02,8.466,2,0.0,23.5
2020-01-03,8.373,2,0.0,23.1
2020-01-04,8.235,2,0.0,23.8
2020-01-05,6.906,2,0.0,21.4
2020-01-06,8.377,2,0.0,19.1
2020-01-07,8.64,2,0.0,21.7
2020-01-08,8.284,2,0.0,23.4
2020-01-09,8.116,2,0.0,23.8
2020-01-10,7.846,2,0.0,24.5
2020-01-11,7.969,2,0.0,23.8
